Country,Province,Lat,Long,Confirmed_2023,Confirmed_2021,Confirmed_2022
Antarctica,,-71.9499,23.347,207616,52513,158107
Belgium,Brussels,51.2195,4.4024,333811,58316,210224
Belgium,East Flanders,50.8503,4.3517,271229,99897,218818
Belgium,Flemish Brabant,51.0362,3.7373,47751,8117,23740
Belgium,Hainaut,50.9167,4.5833,105095,17568,82398
Belgium,Liege,50.5257,4.0621,11,159,4283
Belgium,Limburg,50.4496,5.8492,9106,1629594,5674428
Belgium,Luxembourg,50.9739,5.342,9891139,159738,344980
Belgium,Namur,50.0547,5.4677,445976,118,4919
Belgium,Unknown,50.331,4.8221,224902,4947,228307
Belgium,West Flanders,50.4,4.35,3825104,75,624
Belgium,,51.0536,3.1458,103002,1255,19707
Canada,Manitoba,,,1743616,580,15476
Canada,Quebec,46.5107,-63.4168,862043,234,1613
Canada,Saskatchewan,,,280254,20388,191148
Chile,Valparaiso,,,2838417,863,1161
China,Jiangxi,32.9711,119.455,1255595,358774,1274628
China,Ningxia,22.1667,113.55,5707962,219041,617311
China,Qinghai,37.2692,106.1655,826427,7887,24476
China,Shaanxi,35.7452,95.9956,37491,92913,282677
China,Sichuan,37.5777,112.2922,698774,514500,1585909
China,Unknown,31.6927,88.0924,2037125,395,28810
China,Xinjiang,,,105515,196223,700421
France,St Martin,46.8852,-56.3159,994037,79680,303202
Germany,,,,752180,81557,249566
Holy See,,41.9029,12.4534,501823,65260,260967
India,Uttar Pradesh,,,631890,49270,184728
Japan,Wakayama,,,456805,102209,252893
Kiribati,,-3.3704,-168.734,513756,97027,226576
"Korea, North",,40.3399,127.5101,415567,29349,139220
Malaysia,W.P. Kuala Lumpur,,,345232,18416,56074
Marshall Islands,,7.1315,171.1845,121936,35462,100334
Mexico,Veracruz,,,201053,10701,34742
Micronesia,,7.4256,150.5508,62662,25144,81063
Nauru,"Bonaire, Sint Eustatius and Saba",-0.5228,166.9315,172228,54214,215978
New Zealand,,-21.2367,-159.7777,493116,10776,32840
New Zealand,,-19.0544,-169.8672,69946,3251,24935
Palau,Amazonas,7.515,134.5825,27982,689,2660
Samoa,,-13.759,-172.1046,62524,160985,599753
Solomon Islands,Andalusia,-9.6457,160.1562,1163105,112143,291313
Spain,,,,400992,14805,219509
Summer Olympics 2020,Gavleborg,35.6491,139.7737,327860,41689,88386
Tonga,Alabama,-21.179,-175.1982,158669,105091,242091
Tuvalu,Alabama,-7.1095,177.6493,335176,68361,127013
Ukraine,Alabama,,,182516,201574,433850
United Kingdom,Alabama,49.3723,-2.3644,624864,494684,1271029
United Kingdom,Alabama,-51.7963,-59.5236,1769063,336504,957035
United Kingdom,Alabama,-7.9467,-14.3559,1437171,252077,519811
United Kingdom,Alabama,-24.3768,-128.3242,888063,249271,629925
US,Arizona,,,1311144,309191,947907
US,Arkansas,,,1823980,200959,370694
US,Arkansas,58.74513976,-156.701064,488093,180659,557939
US,Arkansas,59.56149996,-135.3337748,859241,135361,380515
US,Arkansas,61.47502768,-144.7126799,593209,546884,2224553
US,Arkansas,-14.271,-170.132,4079422,293807,625527
US,Arkansas,,,861041,167062,464511
US,Arkansas,,,700127,418323,1598956
US,California,,,2861213,222993,645887
US,California,38.59678594,-119.8223594,1122935,143210,334490
US,Colorado,,,413535,119338,387352
US,Colorado,39.57713498,-120.5200701,582618,451912,1507117
US,Florida,37.82247444,-107.3004345,2895571,435390,1352852
US,Florida,40.6659387,-106.3408905,2701378,95999,284660
US,Florida,,,471673,68858,129086
US,Florida,37.76248981,-107.6763289,181245,494447,1243870
US,Florida,,,1956153,1466191,4456469
US,Florida,,,6315333,113544,278538
US,Florida,,,358281,90592,235558
US,Illinois,,,359567,157,15470
US,Illinois,44.28496071,-112.3505704,266819,202540,748184
US,Illinois,,,1292150,6828,17632
US,Indiana,,,22006,125042,530946
US,Kansas,,,633685,822,27366
US,Kentucky,,,51722,11872,42463
US,Louisiana,,,63200,379,120507
US,Maryland,,,138591,26848,109367
US,Massachusetts,,,123993,100428,361623
US,Michigan,,,622428,51990,254849
US,Michigan,,,391897,0,0
US,Missouri,,,0,13,13
US,Montana,,,13,24700,80096
US,Nebraska,,,153507,601,14272
US,Nebraska,41.54634427,-103.7114332,84891,390,4597
US,Nebraska,41.91311716,-99.97677845,53914,24,2229
US,Nevada,40.17658508,-99.40438879,11511,1497,18454
US,Nevada,40.52451972,-101.0603568,134483,266,803
US,Nevada,42.87990694,-99.71343729,3531,192482,811300
US,Nevada,41.56650314,-100.4817851,1553431,94,1366
US,New Hampshire,41.91371961,-99.45440415,55319,208390,620189
US,New Jersey,42.48932059,-103.7576544,1284873,13,13
US,New Mexico,41.91482725,-98.52798941,13,15634,85188
US,New Mexico,39.98100864,-116.2683204,150942,60,1755
US,New Mexico,,,4989,4963,12163
US,New York,,,15351,2141,6183
US,New York,,,7650,23887,67038
US,Ohio,46.44737738,-103.4601547,178887,23161,104302
US,Oklahoma,36.74817177,-102.5173885,286388,10859,29002
US,Oregon,,,78369,8520,30857
US,Pennsylvania,,,112012,1588,10331
US,Puerto Rico,,,35023,47898,167943
US,Puerto Rico,18.180117,-66.754367,495812,14308,54884
US,Puerto Rico,18.360255,-67.175131,203956,26170,99506
US,Puerto Rico,18.459681,-67.120815,238207,9004,53915
US,Puerto Rico,18.251619,-66.126806,143796,17010,30221
US,Puerto Rico,18.131361,-66.264131,66512,25783,109826
US,Puerto Rico,18.287985,-67.120611,338027,319937,753929
US,Puerto Rico,18.406631,-66.675077,1909366,10821,39539
US,Puerto Rico,17.998457,-66.056546,152938,21682,73236
US,Puerto Rico,18.445533,-66.560531,215245,15896,45371
US,Puerto Rico,18.201592,-66.30963,111207,58,45
US,Puerto Rico,18.34946,-66.168435,42,35982,138453
US,Puerto Rico,18.040993,-67.154391,476091,993,1009
US,Puerto Rico,18.211615,-66.050779,1745,988,1211
US,Puerto Rico,18.418578,-66.860206,36466,590,611
US,Puerto Rico,18.328802,-65.887612,13242,513,1372
US,Puerto Rico,18.374986,-65.956831,11589,182,356
US,Puerto Rico,18.437269,-66.143306,1572,2046,3467
US,Puerto Rico,18.102851,-66.14914,84840,264,630
US,Puerto Rico,18.251818,-65.666416,3477,147,160
US,Puerto Rico,18.28885,-66.516475,1906,171,190
US,Puerto Rico,18.173559,-66.161179,10467,373,1458
US,Puerto Rico,18.097597,-66.36014,3086,964,2035
US,Puerto Rico,18.224687,-66.221622,5908,1299,1642
US,Puerto Rico,18.304264,-66.327738,9448,8888,12667
US,Puerto Rico,18.31586,-65.28813,2648994,68149,68317
US,Recovered,18.436115,-66.278669,70988,1021,1222
US,Rhode Island,18.318373,-65.666866,4846,364,1186
US,Rhode Island,18.373715,-66.560488,8541,684,1625
US,Rhode Island,17.982429,-66.919643,3897,935,959
US,Rhode Island,18.007516,-66.133908,2530,157,589
US,Rhode Island,18.039942,-66.79186,40529,359,796
US,Rhode Island,18.345114,-66.114523,3330,46,79
US,South Carolina,18.266461,-65.979705,2615,75,122
US,South Carolina,18.410928,-66.796326,554,18,30
US,South Carolina,18.134532,-67.113972,582,508,2342
US,South Carolina,18.145211,-65.810174,6292,863,1045
