index,Country,Province,Lat,Long,Death2022101,Death2021101,Death2023101,Death2021601,Death2022601,Death2023601,Death20211201,Death20221201,Death20231201
1,Afghanistan,,33.93911,67.709953,7356,2201,7849,2244,7367,7850,2301,7376,7854
2,Albania,,41.1533,20.1683,3217,1181,3595,1217,3228,3596,1252,3253,3596
3,Algeria,,28.0339,1.6596,6284,2762,6881,2786,6318,6881,2816,6372,6881
4,Andorra,,42.5063,1.5218,140,84,165,84,141,165,86,141,165
5,Angola,,-11.2027,17.8739,1772,405,1930,413,1799,1930,422,1842,1930
6,Antarctica,,-71.9499,23.347,0,5,0,5,119,0,5,120,0
7,Antigua and Barbuda,,17.0608,-61.7964,119,43319,146,43976,117386,146,44848,117670,146
8,Argentina,,-38.4161,-63.6167,117181,2828,130124,2890,7993,130171,2941,8014,130249
9,Armenia,Australian Capital Territory,40.0691,45.0382,7975,3,8716,3,15,8716,3,16,8716
10,Australia,New South Wales,-35.4735,149.0124,15,54,138,54,700,142,54,797,148
11,Australia,Northern Territory,-33.8688,151.2093,669,0,5804,0,1,5881,0,1,5993
12,Australia,Queensland,-12.4634,130.8456,1,6,84,6,8,87,6,17,87
13,Australia,South Australia,-27.4698,153.0251,7,4,2405,4,10,2449,4,30,2526
14,Australia,Tasmania,-34.9285,138.6007,6,13,1155,13,13,1170,13,13,1203
15,Australia,Victoria,-42.8821,147.3272,13,820,224,820,1565,229,820,1639,229
16,Australia,Western Australia,-37.8136,144.9631,1537,9,6405,9,9,6490,9,9,6639
17,Australia,,-31.9505,115.8605,9,7564,837,7907,16912,856,8269,16978,856
18,Austria,,47.5162,14.5501,16845,2670,21443,2818,8422,21482,2941,8480,21546
19,Azerbaijan,,40.1431,47.5769,8365,171,10008,175,717,10013,175,717,10037
20,Bahamas,,25.025885,-78.035889,717,352,833,353,1395,833,356,1397,833
21,Bahrain,,26.0275,50.55,1394,7576,1539,7687,28097,1539,7819,28111,1539
22,Bangladesh,,23.685,90.3563,28076,7,29440,7,264,29440,7,267,29441
23,Barbados,,13.1939,-59.5432,262,1433,568,1480,5669,568,1535,5757,569
24,Belarus,Antwerp,53.7098,27.9534,5594,0,7118,0,0,7118,0,0,7118
25,Belgium,Brussels,51.2195,4.4024,0,0,0,0,0,0,0,0,0
26,Belgium,East Flanders,50.8503,4.3517,0,0,0,0,0,0,0,0,0
27,Belgium,Flemish Brabant,51.0362,3.7373,0,0,0,0,0,0,0,0,0
28,Belgium,Hainaut,50.9167,4.5833,0,0,0,0,0,0,0,0,0
29,Belgium,Liege,50.5257,4.0621,0,0,0,0,0,0,0,0,0
30,Belgium,Limburg,50.4496,5.8492,0,0,0,0,0,0,0,0,0
31,Belgium,Luxembourg,50.9739,5.342,0,0,0,0,0,0,0,0,0
32,Belgium,Namur,50.0547,5.4677,0,0,0,0,0,0,0,0,0
33,Belgium,Unknown,50.331,4.8221,0,19581,0,19883,28446,0,20194,28566,0
34,Belgium,Walloon Brabant,,,28331,0,33228,0,0,33395,0,0,33478
35,Belgium,West Flanders,50.4,4.35,0,0,0,0,0,0,0,0,0
36,Belgium,,51.0536,3.1458,0,248,0,260,605,0,277,607,0
37,Belize,,17.1899,-88.4976,602,44,688,44,161,688,46,162,688
38,Benin,,9.3077,2.3158,161,0,163,0,3,163,1,3,163
39,Bhutan,,27.5142,90.4336,3,9175,21,9287,19848,21,9454,20103,21
40,Bolivia,,-16.2902,-63.5887,19680,4086,22305,4211,13568,22315,4373,13696,22326
41,Bosnia and Herzegovina,,43.9159,17.6791,13442,42,16227,45,2475,16234,59,2497,16241
42,Botswana,Acre,-22.3285,24.6849,2444,796,2794,814,1852,2794,827,1854,2795
43,Brazil,Alagoas,-9.0238,-70.812,1851,2496,2040,2529,6383,2040,2577,6389,2041
44,Brazil,Amapa,-9.5713,-36.782,6383,926,7196,950,2023,7213,981,2028,7222
45,Brazil,Amazonas,0.902,-52.003,2022,5295,2165,5500,13838,2166,5810,13851,2166
46,Brazil,Bahia,-3.4168,-65.8561,13836,9159,14418,9304,27538,14420,9480,27628,14421
47,Brazil,Ceara,-12.5797,-41.7007,27507,10004,31230,10062,24823,31280,10175,24852,31313
48,Brazil,Distrito Federal,-5.4984,-39.3206,24806,4263,28067,4328,11112,28075,4375,11123,28081
49,Brazil,Espirito Santo,-15.7998,-47.8645,11108,5093,11838,5231,13337,11838,5384,13360,11838
50,Brazil,Goias,-19.1834,-40.3089,13330,6805,14964,6901,24699,14980,7007,24741,14990
51,Brazil,Maranhao,-15.827,-49.8362,24695,4506,27766,4537,10384,27824,4575,10402,27854
52,Brazil,Mato Grosso,-4.9609,-45.2744,10377,4530,11034,4619,14069,11036,4708,14114,11039
53,Brazil,Mato Grosso do Sul,-12.6819,-56.9211,14057,2360,15015,2486,9733,15033,2609,9747,15047
54,Brazil,Minas Gerais,-20.7722,-54.7852,9729,12001,10903,12211,56683,10924,12750,56755,10944
55,Brazil,Para,-18.5122,-44.555,56659,7209,64447,7263,17108,64577,7349,17203,64657
56,Brazil,Paraiba,-1.9981,-54.9306,17092,3680,18953,3755,9600,18983,3836,9612,18991
57,Brazil,Parana,-7.24,-36.782,9597,7993,10525,8233,40900,10536,8885,40927,10537
58,Brazil,Pernambuco,-25.2521,-52.0215,40889,9666,45718,9731,20473,45792,9889,20527,45846
59,Brazil,Piaui,-8.8137,-36.9541,20454,2848,22579,2882,7283,22595,2922,7305,22606
60,Brazil,Rio Grande do Norte,-7.7183,-42.7289,7275,3009,8027,3081,7577,8036,3140,7587,8045
61,Brazil,Rio Grande do Sul,-5.4026,-36.9541,7572,8917,8689,9226,36460,8693,9619,36502,8695
62,Brazil,Rio de Janeiro,-30.0346,-51.2177,36444,25600,41508,26068,69513,41597,26976,69553,41646
63,Brazil,Rondonia,-22.9068,-43.1729,69472,1822,76508,1875,6745,76545,1951,6778,76597
64,Brazil,Roraima,-11.5057,-63.5806,6737,787,7399,793,2078,7406,800,2078,7414
65,Brazil,Santa Catarina,-2.7376,-62.0751,2078,5270,2180,5482,20198,2180,5707,20243,2180
66,Brazil,Sao Paulo,-27.2423,-50.2189,20188,46775,22583,47511,155242,22615,48662,155464,22615
67,Brazil,Sergipe,-23.5505,-46.6333,155213,2492,177411,2532,6059,177693,2595,6062,177740
68,Brazil,Tocantins,-10.5741,-37.3857,6057,1239,6482,1257,3944,6490,1286,3956,6495
69,Brazil,,-10.1753,-48.2982,3939,3,4208,3,98,4212,3,98,4216
70,Brunei,,4.5353,114.7277,98,7604,225,7961,31375,225,8279,31838,225
71,Bulgaria,,42.7339,25.4858,30983,85,38108,89,333,38122,92,339,38136
72,Burkina Faso,,12.2383,-1.5616,318,2697,395,2785,19284,395,2878,19297,396
73,Burma,,21.9162,95.956,19272,2,19490,2,38,19490,2,38,19490
74,Burundi,,-3.3731,29.9189,38,113,38,113,358,38,115,368,38
75,Cabo Verde,,16.5388,-23.0418,352,0,412,0,3015,412,0,3015,412
76,Cambodia,,11.55,104.9167,3012,448,3056,448,1851,3056,451,1853,3056
77,Cameroon,Alberta,3.848,11.5021,1851,1046,1965,1193,3336,1965,1345,3367,1965
78,Canada,British Columbia,53.9333,-116.5765,3310,901,5351,962,2430,5415,1019,2455,5443
79,Canada,Diamond Princess,53.7267,-127.6476,2423,1,4806,1,1,4896,1,1,4961
80,Canada,Grand Princess,,,1,0,1,0,0,1,0,0,1
81,Canada,Manitoba,,,0,667,0,705,1408,0,748,1429,0
82,Canada,New Brunswick,53.7609,-98.8139,1392,9,2331,9,169,2331,11,174,2369
83,Canada,Newfoundland and Labrador,46.5653,-66.4619,160,4,635,4,20,635,4,23,740
84,Canada,Northwest Territories,53.1355,-57.6604,19,0,288,0,12,288,0,12,295
85,Canada,Nova Scotia,64.8255,-124.8457,12,65,22,65,111,22,65,115,22
86,Canada,Nunavut,44.682,-63.7443,111,1,674,1,4,674,1,4,689
87,Canada,Ontario,70.2998,-83.1076,4,4581,7,4767,10272,7,5053,10445,7
88,Canada,Prince Edward Island,51.2538,-85.3232,10206,0,15538,0,0,15633,0,0,15717
89,Canada,Quebec,46.5107,-63.4168,0,8388,82,8624,11846,82,8886,12080,83
90,Canada,Repatriated Travellers,52.9399,-73.5491,11732,0,17692,0,0,17728,0,0,17789
91,Canada,Saskatchewan,,,0,155,0,174,961,0,204,961,0
92,Canada,Yukon,52.9399,-106.4509,955,1,1781,1,15,1781,1,15,1800
93,Canada,,64.2823,-135,15,63,32,63,101,32,63,106,32
94,Central African Republic,,6.6111,20.9394,101,104,113,105,184,113,108,185,113
95,Chad,Antofagasta,15.4542,18.7322,184,585,194,586,1289,194,597,1295,194
96,Chile,Araucania,-23.6509,-70.3975,1286,311,1924,316,1563,1928,344,1565,1935
97,Chile,Arica y Parinacota,-38.9489,-72.3311,1561,225,2851,227,546,2856,232,546,2863
